clade_name	/work/reads/S01.clean_1.fastq.gz	/work/reads/S02.clean_1.fastq.gz	/work/reads/S03.clean_1.fastq.gz	/work/reads/S04.clean_1.fastq.gz	/work/reads/S05.clean_1.fastq.gz	/work/reads/S06.clean_1.fastq.gz	/work/reads/S07.clean_1.fastq.gz	/work/reads/S08.clean_1.fastq.gz	/work/reads/S09.clean_1.fastq.gz	/work/reads/S10.clean_1.fastq.gz	/work/reads/S11.clean_1.fastq.gz	/work/reads/S12.clean_1.fastq.gz	/work/reads/S13.clean_1.fastq.gz	/work/reads/S14.clean_1.fastq.gz	/work/reads/S15.clean_1.fastq.gz	/work/reads/S16.clean_1.fastq.gz
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum sp178717	0	0.57543	0.11141	0	0.0514	0.05941	0.1554	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus sp420836	0.4337	0.26844	0.60605	1.18312	0.13744	1.95387	0	0.40725	0	0.46728	0.44907	0.88216	2.41049	5.05922	3.31251	2.45346
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136|s__Lachnospiraceae_NK4A136 sp785212	0.77386	1.67353	0	1.37421	0.29419	0.76634	1.54862	1.08048	0.21876	1.69541	0.47162	0.59132	0	0	0.11165	0.01823
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia sp302047	0.13891	0.1391	0.15067	0	0.14391	0.27153	0.34038	0.1436	0.03265	0.4076	0.23564	0.06531	0	0	0	0.01753
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia sp602152	17.79125	7.29128	20.27291	20.14417	4.73565	3.18275	9.26883	43.77923	6.6973	21.82601	8.24082	11.78786	3.89073	8.55766	7.31407	10.06258
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia sp528723	0.39035	0.40566	0.25279	0	0.1243	0.36256	0.35871	0.35141	0.21038	1.27262	0.50344	0	0.45257	0.59154	0.3235	0.09912
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor sp683269	0	0	0.11106	0.12955	0.13539	0.26249	0.24908	0.19255	0.04505	0.34484	0.73062	0.41284	0	0.24796	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix sp358968	0.48945	0.64795	0.91701	0.4096	0.31086	0.42199	0.36639	0.42499	0.34252	0.24248	0.30457	0.36928	0	0	0.0402	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Schaedlerella|s__Schaedlerella sp619531	0	0.42095	0.11817	0	0.14434	0.21427	0.41094	0.17319	0.06161	0	0.08201	0.27505	0	0.1518	0.25397	0.15176
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter sp441804	0	0	0	0	0.03322	0	0	0	0.04999	0.26016	0.14425	0	0	0.21895	0	0.03756
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor sp343932	1.38697	2.09489	0.41866	0.39473	0.56552	0.58599	0	0.31179	0.16271	0.44625	0.22711	0.32336	0	0.49465	0.54486	0.41673
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus sp777733	0.8965	0.90489	1.00255	0	0.28106	0.54207	1.40128	0.11746	0.176	1.47553	0.29781	0	0.38009	0.8749	0.75584	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus sp582639	0	0	0.18707	0.74126	0	0	0	0.11766	0.13018	0	0.17753	0.23538	0.16659	1.2124	0.32223	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp452112	1.00949	0.26265	0.26391	0.20738	0.33568	0.53385	0	1.0459	0.2363	0.98982	0	0.41642	0.23817	0.32443	0	0.09216
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium sp875346	0.3584	0.16509	0.1975	0.16239	0.22637	0.25862	0.31776	0	0	0.44931	0.33284	0.30567	0.09566	0.28072	0.6204	0.13029
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium sp498592	1.59737	0.60759	0.2883	0.39634	0.84909	0.40248	0.37051	0.36606	0.16704	0	0.12695	0	0.15562	0	0.4326	0.30356
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia sp111859	0	0	0.02904	0	0	0	0	0	0.00801	0	0	0	0	0.18145	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus sp467460	1.8634	0.77505	2.85821	1.65767	0.92145	0	1.48756	0.3586	0.29846	0.97913	0	0.51618	2.41681	0.69233	1.63052	0.16642
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia sp138690	0.18468	0	0.08997	0.09463	0.0733	0.24634	0.21115	0	0.05224	0.24262	0	0	0.17496	1.15128	0	0.17985
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia sp353390	0.60718	0.51458	0.16571	0.08929	0	0.06284	0.28299	0.05954	0.05027	0	0.18758	0.37652	2.98936	6.76608	0	0.63175
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Parasutterella|s__Parasutterella sp121095	0.92338	1.10355	0.65504	0.50363	1.21288	0.76466	0.98668	0.69481	0	0.52756	0.15996	0.46584	15.42219	3.36713	6.52888	1.278
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio sp365524	0.20828	0	0.20256	0.69517	0.09966	0.24395	0.05405	0.18343	0.58765	0.98706	0.26131	1.75079	0	2.57214	0.74022	0.87212
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae|g__Mucispirillum|s__Mucispirillum sp305908	0	0	0	0.06607	0	0	0.02058	0	0	0	0.02986	0	0.01324	0.03598	0	0.00839
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp698443	0.18554	0.3344	0.32927	0	0.11308	0.26763	0	0	0.03815	0.29979	0.12349	0.52216	0	0.44291	0.29136	0.22248
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum sp231150|t__GCF_385394461.1	0.47005	1.62836	0.34688	0.52599	0	0	0.20026	0	0.05624	0.25282	0.45679	0.347	0.13804	0	0	0.15807
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum sp887565|t__GCF_835317906.1	1.09769	0.66431	0.26559	0.9726	0.1048	0	1.14358	0.74053	0.2629	1.24441	0.15091	0.73137	0.0986	0.7138	0	0.19382
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp122507|t__GCF_681727840.1	2.54599	0.9763	2.16934	2.28741	0.34121	0.75417	0.59329	1.47132	1.23085	1.44057	0.75199	1.21341	0.60035	0.54533	0	0.93513
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp693845|t__GCF_277891621.1	9.21853	18.47612	0.90717	3.25155	5.13047	3.29508	11.23574	4.63587	1.66486	7.77858	3.10672	4.94396	3.05136	2.65709	6.24755	4.31159
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum sp177693|t__GCF_712148337.1	2.4011	0	1.19586	0.7051	0.73785	2.02669	1.1375	0.37351	0.16775	0.80999	0.96498	0.67279	0.60664	0.3597	0.91911	1.2264
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__CAG-485|s__CAG-485 sp174716|t__GCF_254343377.1	0	0.69259	2.11358	0.87485	3.81205	0.43493	0.75516	0	2.47036	3.89663	1.00804	1.60629	0.80337	2.64089	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp401579|t__GCF_638968339.1	0.10482	0.07401	0.48998	0	0	0	0.10129	0	0.16048	0	0.14848	0	0.70488	1.66734	1.97357	0.40464
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp570244|t__GCF_778003227.1	1.22741	0	1.07035	2.95951	0.48246	0	0.46774	0.28176	0.79034	2.20082	0.75371	1.99574	8.58538	5.98356	18.79114	15.56854
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sp848802|t__GCF_352991009.1	7.48498	4.15208	4.59948	1.75671	9.08091	10.70921	1.04176	16.16217	3.189	5.23401	3.77888	8.47853	4.50002	2.55315	16.86502	2.2218
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp262345|t__GCF_109348154.1	0.14353	0.0704	0.08937	0.05251	0	0.08599	0.1462	0	0.02606	0.93992	0.4904	0	0	0	0.26728	0.25555
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides sp616081|t__GCF_791540768.1	0	2.8009	4.16378	4.57892	0	1.64104	7.42086	2.16984	0.25507	5.95791	1.21365	11.19712	1.15862	4.91823	1.36298	0.83398
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus sp194380|t__GCF_835514200.1	31.31751	14.97595	41.5036	45.8377	60.83095	51.08082	45.60653	9.61716	77.99666	20.36613	64.47218	45.12402	42.63728	30.10128	19.65535	55.68021
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus sp823164|t__GCF_805432683.1	6.94131	3.13638	2.86799	2.09561	1.72844	5.34884	1.06926	2.92088	1.52011	13.75042	4.90962	3.04384	6.85878	5.88125	9.13637	0.93349
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus sp836388|t__GCF_117939755.1	7.73557	33.59997	8.1425	4.66543	6.57543	12.32676	10.5086	11.41708	0.3921	2.82379	4.14505	0.74531	0.82611	8.15466	1.54441	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus sp665740|t__GCF_596743031.1	0	0.17864	0	0.58106	0.27179	0.31808	0.09179	0.16025	0.22719	0.39052	0.18115	0.24402	0.62408	0.57947	0	0.13285
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter sp223624|t__GCF_245229538.1	0	0.29112	0.7914	0.36856	0.05859	0.45433	0.50246	0.24169	0	0	0.31066	0.2273	0	0.02073	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella|s__Dubosiella sp758367|t__GCF_632250977.1	0.07276	0.09784	0.05529	0.2373	0.05625	0.12043	0.14705	0	0.02476	0	0.07027	0.13319	0	0	0.0144	0.00197
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum sp178717|t__GCF_891682273.1	0	0.57543	0.11141	0	0.0514	0.05941	0.1554	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus sp420836|t__GCF_632308201.1	0.4337	0.26844	0.60605	1.18312	0.13744	1.95387	0	0.40725	0	0.46728	0.44907	0.88216	2.41049	5.05922	3.31251	2.45346
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136|s__Lachnospiraceae_NK4A136 sp785212|t__GCF_356668361.1	0.77386	1.67353	0	1.37421	0.29419	0.76634	1.54862	1.08048	0.21876	1.69541	0.47162	0.59132	0	0	0.11165	0.01823
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia sp302047|t__GCF_323853069.1	0.13891	0.1391	0.15067	0	0.14391	0.27153	0.34038	0.1436	0.03265	0.4076	0.23564	0.06531	0	0	0	0.01753
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia sp602152|t__GCF_659083691.1	17.79125	7.29128	20.27291	20.14417	4.73565	3.18275	9.26883	43.77923	6.6973	21.82601	8.24082	11.78786	3.89073	8.55766	7.31407	10.06258
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia sp528723|t__GCF_207693396.1	0.39035	0.40566	0.25279	0	0.1243	0.36256	0.35871	0.35141	0.21038	1.27262	0.50344	0	0.45257	0.59154	0.3235	0.09912
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor sp683269|t__GCF_871858740.1	0	0	0.11106	0.12955	0.13539	0.26249	0.24908	0.19255	0.04505	0.34484	0.73062	0.41284	0	0.24796	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix sp358968|t__GCF_389620766.1	0.48945	0.64795	0.91701	0.4096	0.31086	0.42199	0.36639	0.42499	0.34252	0.24248	0.30457	0.36928	0	0	0.0402	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Schaedlerella|s__Schaedlerella sp619531|t__GCF_472516001.1	0	0.42095	0.11817	0	0.14434	0.21427	0.41094	0.17319	0.06161	0	0.08201	0.27505	0	0.1518	0.25397	0.15176
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter sp441804|t__GCF_246237765.1	0	0	0	0	0.03322	0	0	0	0.04999	0.26016	0.14425	0	0	0.21895	0	0.03756
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor sp343932|t__GCF_732166806.1	1.38697	2.09489	0.41866	0.39473	0.56552	0.58599	0	0.31179	0.16271	0.44625	0.22711	0.32336	0	0.49465	0.54486	0.41673
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus sp777733|t__GCF_825084688.1	0.8965	0.90489	1.00255	0	0.28106	0.54207	1.40128	0.11746	0.176	1.47553	0.29781	0	0.38009	0.8749	0.75584	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus sp582639|t__GCF_366096107.1	0	0	0.18707	0.74126	0	0	0	0.11766	0.13018	0	0.17753	0.23538	0.16659	1.2124	0.32223	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp452112|t__GCF_704212535.1	1.00949	0.26265	0.26391	0.20738	0.33568	0.53385	0	1.0459	0.2363	0.98982	0	0.41642	0.23817	0.32443	0	0.09216
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium sp875346|t__GCF_718869119.1	0.3584	0.16509	0.1975	0.16239	0.22637	0.25862	0.31776	0	0	0.44931	0.33284	0.30567	0.09566	0.28072	0.6204	0.13029
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium sp498592|t__GCF_692945506.1	1.59737	0.60759	0.2883	0.39634	0.84909	0.40248	0.37051	0.36606	0.16704	0	0.12695	0	0.15562	0	0.4326	0.30356
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia sp111859|t__GCF_360765333.1	0	0	0.02904	0	0	0	0	0	0.00801	0	0	0	0	0.18145	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus sp467460|t__GCF_786800773.1	1.8634	0.77505	2.85821	1.65767	0.92145	0	1.48756	0.3586	0.29846	0.97913	0	0.51618	2.41681	0.69233	1.63052	0.16642
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia sp138690|t__GCF_671865125.1	0.18468	0	0.08997	0.09463	0.0733	0.24634	0.21115	0	0.05224	0.24262	0	0	0.17496	1.15128	0	0.17985
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia sp353390|t__GCF_488010780.1	0.60718	0.51458	0.16571	0.08929	0	0.06284	0.28299	0.05954	0.05027	0	0.18758	0.37652	2.98936	6.76608	0	0.63175
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Parasutterella|s__Parasutterella sp121095|t__GCF_352842732.1	0.92338	1.10355	0.65504	0.50363	1.21288	0.76466	0.98668	0.69481	0	0.52756	0.15996	0.46584	15.42219	3.36713	6.52888	1.278
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio sp365524|t__GCF_876113726.1	0.20828	0	0.20256	0.69517	0.09966	0.24395	0.05405	0.18343	0.58765	0.98706	0.26131	1.75079	0	2.57214	0.74022	0.87212
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae|g__Mucispirillum|s__Mucispirillum sp305908|t__GCF_620365125.1	0	0	0	0.06607	0	0	0.02058	0	0	0	0.02986	0	0.01324	0.03598	0	0.00839
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp698443|t__GCF_728775122.1	0.18554	0.3344	0.32927	0	0.11308	0.26763	0	0	0.03815	0.29979	0.12349	0.52216	0	0.44291	0.29136	0.22248
